,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
3,109.99,"Round Pond Cabernet Sauvignon Reserve Rutherford, 2016",Round Pond,California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,,"Black Cherry, Mocha, Licorice",Full-bodied,91,5,4
4,269.99,"Roy Estate Mr. Evans Proprietary Red, 2015",Roy Estate,California,Napa Valley,,Cabernet Sauvignon,Concentrated,15.3,"Red Cherry, Blackberry",Full-bodied,95,5,3
0,129.99,"Rudd Estate Cabernet Samanthas, 2010",Rudd Estate,California,Napa Valley,Oakville,Cabernet Sauvignon,Intense,,"Black Cherry, Blackberry, Plum",Full-bodied,93,4.7,3
1,149.99,"Sheridan Cabernet Block One Yakima, 2014",Sheridan Vineyard,Washington,Yakima Valley,,Cabernet Sauvignon,Intense,14.1,"Chocolate, Cassis",Full-bodied,99,3.6,8
2,84.97,"Spottswoode Cabernet Sauvignon Lyndenhurst, 2017",Spottswoode,California,Napa Valley,,Cabernet Sauvignon,,,,,92,4.5,2
3,279.97,"Staglin Cabernet, 2014",Staglin,California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,,"Cassis, Olive, Cedar",,94,5,2
4,169.99,"Turnbull Cabernet Sauvignon Black Label Oakville Estate, 2015",Turnbull,California,Napa Valley,Oakville,Cabernet Sauvignon,Intense,,"Currant, Cedar, Mocha",,94,,0
0,429.97,"Verite Cabernet La Joie, 2018",Verite,California,Sonoma County,,Cabernet Sauvignon,Intense,,"Blackberry, Truffle",Full-bodied,98,,0
1,97.99,"Achaval Ferrer Malbec Mirador, 2014",Achaval Ferrer,Argentina,Mendoza,,Malbec,Intense,,"Blackberry, Black Currant",Full-bodied,95,4,1
2,36.99,"Tikal Amorio Malbec, 2017",Tikal,Argentina,Mendoza,,Malbec,Elegant,,"Cherry, Plum",Medium-bodied,92,4.4,9
3,129.98,"Moone Tsai Hillside Red Howell Mountain, 2014",Moone Tsai,California,Napa Valley,Howell Mountain,Merlot,Concentrated,14.7,"Black Currant, Red Cherry",Full-bodied,94,4.5,2
4,53.99,"Spring Valley Uriah Walla Walla, 2012",Spring Valley,Washington,Columbia Valley,Walla Walla,Merlot,Intense,,"Cherry, Coffee",Medium-bodied,93,4.4,10
0,429.97,"Verite Le Desir, 2017",Verite,California,Sonoma County,,Merlot,Elegant,,"Cassis, Spice, Earth",Full-bodied,98,,0
1,429.97,"Verite Merlot La Muse, 2017",Verite,California,Sonoma County,,Merlot,Concentrated,,"Cherry, Cedar, Mocha",Full-bodied,99,5,1
2,64.99,"Austin Hope Mourvedre Templeton Gap Paso Robles, 2014",Austin Hope,California,Central Coast,Paso Robles,Mourvedre/Monastrell,Intense,,"Dark Fruit, Blueberry",Full-bodied,92,4.9,8
3,219.99,"Gaja Barbaresco, 2009",Gaja,Italy,Piedmont,Barbaresco,Nebbiolo,Elegant,,"Cherry, Berry",Full-bodied,93,4.5,2
4,319.97,"Gaja Sperss, 2016",Gaja,Italy,Piedmont,Langhe,Nebbiolo,,,,,100,,0
0,164.99,"Pio Cesare Barbaresco Il Bricco, 2016",Pio Cesare,Italy,Piedmont,Barbaresco,Nebbiolo,,,,,94,,0
1,89.99,"Pio Cesare Barbaresco, 2016",Pio Cesare,Italy,Piedmont,Barbaresco,Nebbiolo,Intense,,"Berry, Violet, Vanilla",Full-bodied,93,,0
2,89.99,"Pio Cesare Barolo, 2016",Pio Cesare,Italy,Piedmont,Barolo,Nebbiolo,Elegant,,"Rose, Berry, Earth",Full-bodied,95,5,2
3,59.99,"Renato Ratti Barolo Marcenasco, 2012",Renato Ratti,Italy,Piedmont,Barolo,Nebbiolo,Elegant,,"Berry, Cassis, Earth",Medium-bodied,90,,0
4,49.99,"Gaja Idda Sicilia Rosso, 2018",Gaja,Italy,Sicily,,Nerello Mascalese,,,,,91,1,1
0,72.99,"Arista Pinot Noir Russian River Valley, 2018",Arista,California,Sonoma County,Russian River Valley,Pinot Noir,,,,,95,,0
1,57.99,"Au Bon Climat Pinot Noir Knox Alexander, 2015",Au Bon Climat,California,Santa Barbara,,Pinot Noir,,,,,91,4.7,3
2,84.99,"Evening Land Pinot Noir La Source, 2018",Evening Land,Oregon,Willamette Valley,,Pinot Noir,Intense,,"Blackberry, Raspberry, Mineral",Medium-bodied,92,3.8,4
3,74.99,"Faiveley Nuits St George, 2018",Faiveley,France,Burgundy,Nuits-Saint-Georges,Pinot Noir,,,,,91,,0
4,56.99,"Foxen Pinot Noir Bien Nacido, 2016",Foxen,California,Santa Barbara,Santa Maria Valley,Pinot Noir,,,,,92,,0
0,48.49,"Hansel Pinot Noir Cahill Lane, 2015",Hansel,California,Sonoma County,Russian River Valley,Pinot Noir,Elegant,,"Plum, Black Cherry, Earth",Full-bodied,93,5,3
1,54.99,"Hansel Pinot Noir South Slope, 2015",Hansel,California,Sonoma County,,Pinot Noir,Concentrated,,"Black Cherry, Cola, Earth",Medium-bodied,94,4.5,2
2,67.99,"Martinelli Pinot Noir Bondi Ranch, 2018",Martinelli,California,Sonoma County,,Pinot Noir,Fresh,,"Blackberry, Plum",Medium-bodied,92,4.7,3
3,67.99,"Patz & Hall Pinot Noir Gap's Crown Vineyard Sonoma Coast, 2016",Patz & Hall,California,Sonoma County,,Pinot Noir,Elegant,14.2,"Berry, Cherry",Medium-bodied,93,4.8,4
4,67.99,"Patz & Hall Pinot Noir Hyde Vineyard, 2016",Patz & Hall,California,,,Pinot Noir,Intense,,"Plum, Raspberry",Full-bodied,93,4,2
0,149.99,"Paul Hobbs Pinot Noir Katherine Lindsay Estate Russian River, 2018",Paul Hobbs,California,Sonoma County,Russian River Valley,Pinot Noir,Fresh,,"Raspberry, Cherry, Blueberry",Full-bodied,95,,0
1,82.99,"WALT Pinot Noir Bob's Ranch, 2018",Walt,California,Sonoma County,Sonoma Coast,Pinot Noir,,,,,92,5,1
2,94.99,"Wayfarer Pinot Noir Wayfarer Vineyard Sonoma Coast, 2014",Wayfarer,California,Sonoma County,Sonoma Coast,Pinot Noir,,14.5,,,93,5,1
3,44.99,"Blackbird Arise Red, 2016",Blackbird,California,Napa Valley,,Red Blend,,,,,92,5,1
4,179.99,"Bryant Family Vineyard Red Blend DB4, 2016",Bryant Family,California,Napa Valley,,Red Blend,Concentrated,,"Red Berry, Plum, Cedar",Full-bodied,92,,0
0,289.99,"Catena Zapata Nicolas Red, 2008",Catena,Argentina,Mendoza,,Red Blend,Concentrated,,"Cassis, Violet, Cedar",Full-bodied,98,5,12
1,99.99,"Clos Martinet Priorat, 2017",Clos Martinet,Spain,Priorat,,Red Blend,Intense,,"Floral, Blackberry",Full-bodied,95,5,1
2,189.99,"Fontodi Vigna del Sorbo Gran Selezione, 2011",Fontodi,Italy,Tuscany,Chianti Classico,Red Blend,Intense,,"Red Berry, Black Cherry",Medium-bodied,94,,0
3,69.99,"Hudson Phoenix Red Blend, 2016",Hudson,California,Napa Valley,,Red Blend,Fresh,,"Cherry, Vanilla, Clove",Medium-bodied,94,5,1
4,64.99,"L'Aventure Optimus Estate, 2017",L'Aventure,California,Central Coast,Paso Robles,Red Blend,Concentrated,,"Black Fruit, Blueberry, Anise",Full-bodied,93,5,1
0,99.99,"Leviathan Red Blend California, 2015",Leviathan,Bulgaria,,,Red Blend,Fresh,,"Black Raspberry, Red Cherry",Full-bodied,92,4.3,33
1,154.99,"Chateau Beaucastel Chateauneuf-du-Pape Rouge, 2006",Chateau Beaucastel,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,95,,0
2,30.99,"Domaine Grand Veneur 'Les Champauvins', 2016",Domaine Grand Veneur,France,Rhone,Cotes du Rhone,Rhone Blend,Intense,14.5,"Cassis, Black Cherry",Medium-bodied,92,4,7
3,99.97,"Guigal Chateau de Nalys Chateauneuf du Pape Grand Vin Rouge, 2016",E. Guigal,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,14.8,,,95,,0
4,174.99,"Guigal Cote Rotie d'Ampuis, 2014",E. Guigal,France,Rhone,Cote Rotie,Rhone Blend,Concentrated,,"Cassis, Smoke, Spice",Full-bodied,93,,0
0,59.99,"La Milliere Chateauneuf-du-Pape Vieilles Vignes, 2015",La Milliere,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,Intense,14,"Dark Fruit, Pepper, Olive",Medium-bodied,92,4,2
1,69.99,"Maison Denuziere Cornas En Sauman, 2015",Maison Denuziere,France,Rhone,Cornas,Rhone Blend,Fresh,13,"Black Fruit, Earth, Licorice",Full-bodied,93,4.3,3
2,38.99,"Altesino Brunello di Montalcino, 2015",Altesino,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Concentrated,,"Violet, Cherry",Full-bodied,95,,0
3,259.99,"Fontodi Flaccianello della Pieve, 2016",Fontodi,Italy,Tuscany,Toscana,Sangiovese,Fresh,,"Cherry, Black Currant, Violet",Full-bodied,100,4.5,2
4,124.99,"Fontodi Vigna del Sorbo Gran Selezione, 2013",Fontodi,Italy,Tuscany,Chianti Classico,Sangiovese,Intense,,"Red Fruit, Black Fruit",Medium-bodied,96,,0
0,99.99,"Fontodi Vigna del Sorbo Gran Selezione, 2011",Fontodi,Italy,Tuscany,Chianti Classico,Sangiovese,Intense,,"Red Berry, Black Cherry",Medium-bodied,94,,0
1,269.97,"Gaja Brunello Rennina, 2011",Gaja,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Elegant,,"Floral, Berry, Tobacco",Medium-bodied,94,5,1
2,129.99,"IL Poggione Brunello di Montalcino Riserva, 2015",IL Poggione,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Concentrated,,"Black Cherry, Plum",Full-bodied,97,,0
3,99.97,"Booker Syrah Fracture Paso Robles, 2016",Booker,California,Central Coast,Paso Robles,Syrah/Shiraz,,,,,95,5,3
4,48.99,"Gramercy Syrah, 2014",Gramercy,Washington,Columbia Valley,Walla Walla,Syrah/Shiraz,,,,,94,,0
0,93.99,"Torbreck Descendant Shiraz, 2017",Torbreck,Australia,Barossa,,Syrah/Shiraz,Intense,,"Plum, Black Olive, Apricot",Full-bodied,96,5,1
1,55.99,"Two Hands Shiraz Lily's Garden, 2017",Two Hands,Australia,McLaren Vale,,Syrah/Shiraz,Intense,,"Plum, Blackberry",Full-bodied,92,5,2
2,89.97,"Booker Tempranillo Paso Robles, 2017",Booker,California,Central Coast,Paso Robles,Tempranillo,Intense,,"Black Plum, Cedar, Mineral",Medium-bodied,92,,0
3,89.99,"Dominio del Pidio Ribera del Duero, 2014",Dominio del Pidio,Spain,Ribera del Duero,,Tempranillo,,,,,93,5,1
4,154.99,"Emilio Moro Malleolus de Valderramiro Ribera del Duero Tempranillo, 2007",Emilio Moro,Spain,Ribera del Duero,,Tempranillo,Concentrated,,"Berry, Mocha, Oak",Full-bodied,96,,0
0,54.99,"Perez Pascuas Vina Pedrosa Reserva """"La Navilla"""" Ribera del Duero, 2016",Perez Pascuas,Spain,Ribera del Duero,,Tempranillo,,,,,93,,0
1,111.99,"Vega Sicilia Alion, 2014",Vega Sicilia,Spain,Ribera del Duero,,Tempranillo,,,,,94,,0
2,99.99,"Vega Sicilia & Rothschild Macan, 2013",Vega Sicilia,Spain,Rioja,,Tempranillo,,14,,,93,,0
3,32.99,"Turley Zinfandel Juvenile, 2019",Turley,California,,,Zinfandel,Concentrated,,"Black Raspberry, Kirsch, Spice",Full-bodied,92,4.4,5
4,99.99,"Vineyard 29 Aida Zinfandel , 2018",Vineyard 29,California,Napa Valley,,Zinfandel,Elegant,,"Blackberry, Black Raspberry, Pepper",Medium-bodied,92,5,1
0,299.99,"Daou Cabernet Sauvignon Soul of a Lion, 2017",Daou,California,Central Coast,Paso Robles,Cabernet Sauvignon,,,,,97,4.9,8
1,219.99,"Darioush Signature Cabernet Sauvignon Napa, 2017",Darioush,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Cassis, Espresso, Cedar",Full-bodied,92,4.4,10
2,164.97,"David Arthur Cabernet Three Acre, 2016",David Arthur,California,Napa Valley,,Cabernet Sauvignon,,14.9,,,94,4,1
3,89.99,"Davis Estates Cabernet Sauvignon, 2016",Davis Estates,California,Napa Valley,St. Helena,Cabernet Sauvignon,,,,,93,5,1
4,329.97,"Dominus, 2015",Dominus,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Wild Berry, Blackberry, Lavender",Full-bodied,100,,0
0,64.99,"Bruno Giacosa Barbera d'Alba Falletto di Serralunga, 2014",Bruno Giacosa,Italy,Piedmont,Barbera d'Alba,Barbera,,,,,91,,0
1,64.99,"Chateau Dalem Fronsac, 2012",Chateau Dalem,France,Bordeaux,Fronsac/Canon Fronsac,Bordeaux Blend,Crisp,13.5,"Anise, Red Berry",Medium-bodied,90,3.9,10
2,79.99,"Chateau d'Armailhac Pauillac, 2012",Chateau d'Armailhac,France,Bordeaux,Pauillac,Bordeaux Blend,Elegant,13.5,"Blackberry, Plum",Medium-bodied,91,5,2
3,194.99,"Chateau Garraud Lalande de Pomerol, 2016",Chateau Garraud,France,Bordeaux,Lalande-de-Pomerol,Bordeaux Blend,Elegant,14,"Blackberry, Plum",Full-bodied,90,3.8,10
4,59.99,"Chateau La Cabanne Pomerol, 2014",Chateau La Cabanne,France,Bordeaux,Pomerol,Bordeaux Blend,Intense,14.5,"Blackberry, Red Berry, Cedar",Full-bodied,91,2,1
0,84.99,"Chateau La Lagune Haut Medoc, 2016",Chateau La Lagune,France,Bordeaux,Haut-Medoc,Bordeaux Blend,Intense,13,"Blueberry, Licorice",Medium-bodied,92,,0
1,89.99,"Chateau La Lagune Haut Medoc, 2010",Chateau La Lagune,France,Bordeaux,Haut-Medoc,Bordeaux Blend,Concentrated,13,"Black Fruit, Dried Cherry",Full-bodied,94,,0
2,54.99,"Chateau Labegorce Margaux, 2016",Chateau Labegorce,France,Bordeaux,Margaux,Bordeaux Blend,Intense,13.5,"Blackberry, Black Currant",Full-bodied,93,4.5,2
3,29.99,"Chateau Lamarque Haut Medoc, 2016",Chateau de Lamarque,France,Bordeaux,Haut-Medoc,Bordeaux Blend,Intense,14,"Raspberry, Black Cherry",Full-bodied,93,4.4,8
4,159.99,"Chateau Landat Haut Medoc, 2015",Chateau Landat,France,Bordeaux,Haut-Medoc,Bordeaux Blend,Elegant,13,"Vanilla, Spice",Medium-bodied,90,4,21
0,21.99,"Chateau Landat Haut Medoc, 2015",Chateau Landat,France,Bordeaux,Haut-Medoc,Bordeaux Blend,Elegant,13,"Vanilla, Spice",Medium-bodied,90,3.9,20
1,379.99,"Chateau Pape Clement Pessac, 2005",Chateau Pape Clement,France,Bordeaux,Pessac-Leognan,Bordeaux Blend,Intense,13.5,"Plum, Licorice",Full-bodied,98,5,1
2,239.99,"Chateau Pichon Baron Pauillac, 2015",Chateau Pichon Baron,France,Bordeaux,Pauillac,Bordeaux Blend,Concentrated,13,"Cassis, Plum",Full-bodied,97,5,1
3,199.99,"Clos Fourtet St Emilion, 2018",Clos Fourtet,France,Bordeaux,Saint-Emilion,Bordeaux Blend,Concentrated,14.5,"Cherry, Raspberry, Oak",Full-bodied,97,,0
4,159.99,"Kenzo Estate Rindo Flagship Red, 2018",Kenzo,California,Napa Valley,,Bordeaux Blend,,,,,93,,0
0,74.99,"Mauro Molino Barolo Conca, 2015",Mauro Molino,Italy,Piedmont,Barolo,Bordeaux Blend,,14,,,94,,0
1,329.97,"Pavillon Rouge du Chateau Margaux, 2016",Pavillon Rouge du Chateau Margaux,France,Bordeaux,Margaux,Bordeaux Blend,Concentrated,13,"Black Fruit, Plum",Full-bodied,93,,0
2,299.99,"Tua Rita Redigraffi, 2008",Tua Rita,Italy,Tuscany,Toscana,Bordeaux Blend,Elegant,,"Berry, Biscuit",Medium-bodied,96,,0
3,369.97,"Accendo Cellars Cabernet Sauvignon Napa Valley, 2016",Accendo Cellars,California,Napa Valley,,Cabernet Sauvignon,,,,,98,,0
4,124.99,"ADAMVS Cabernet Sauvignon TERES, 2013",Adamvs,California,Napa Valley,Howell Mountain,Cabernet Sauvignon,,,,,92,5,1
0,199.99,"Amici Cabernet Sauvignon Beckstoffer Missouri Hopper, 2016",Amici,California,Napa Valley,Oakville,Cabernet Sauvignon,,14.6,,,99,,0
1,149.98,"Amici Cabernet Sauvignon Spring Mountain, 2016",Amici,California,Napa Valley,Spring Mountain,Cabernet Sauvignon,Elegant,14.9,"Clove, Raspberry",Full-bodied,97,4.2,10
2,94.99,"Antica Cabernet Sauvignon Townsend Napa Valley, 2014",Antica,California,Napa Valley,,Cabernet Sauvignon,,14.8,,,90,,0
3,189.99,"Baldacci Cabernet Brendas Vineyard, 2010",Baldacci,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,Intense,14.5,"Black Cherry, Mocha",Full-bodied,95,,0
4,399.97,"Barnett Cabernet Rattlesnake, 2014",Barnett,California,Napa Valley,,Cabernet Sauvignon,Elegant,14.5,"Black Currant, Coffee",Full-bodied,95,4.5,4
0,179.99,"Barnett Cabernet Sauvignon Spring Mountain, 2014",Barnett,California,Napa Valley,Spring Mountain,Cabernet Sauvignon,Elegant,14.6,"Cassis, Chocolate, Earth",Full-bodied,94,5,7
1,249.99,"Beau Vigne Guest Cottage Cabernet Napa, 2017",Beau Vigne,California,Napa Valley,,Cabernet Sauvignon,Elegant,15.3,"Black Currant, Cassis",Full-bodied,96,,0
2,299.99,"Bevan Red EE Oakville, 2013",Bevan cellars,California,Napa Valley,Oakville,Cabernet Sauvignon,Intense,15.2,"Blackberry, Chocolate",,97,5,1
3,369.99,"BRAND Napa Valley Cabernet , 2016",Brand Napa Valley,California,Napa Valley,,Cabernet Sauvignon,Concentrated,15.3,"Cassis, Spice, Chocolate",Full-bodied,96,5,1
4,159.97,"Cakebread Cabernet Sauvignon Benchland, 2016",Cakebread,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Berry, Plum, Cocoa",Full-bodied,95,,0
0,159.99,"Crown Point Estate Red Happy Canyon, 2014",Crown Point,California,Santa Barbara,,Cabernet Sauvignon,,,,,94,2,1
1,249.97,"Dana Estate ONDA Cabernet Sauvignon Napa, 2010",Dana Estate,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Blackberry, Blueberry, Chocolate",Full-bodied,92,,0
2,174.99,"Dancing Hares Red Blend Napa, 2016",Dancing Hares,California,Napa Valley,,Cabernet Sauvignon,,,,,97,,0
3,429.99,"Diamond Creek Red Rock Cabernet, 2018",Diamond Creek,California,Napa Valley,Diamond Mountain,Cabernet Sauvignon,Concentrated,,"Cassis, Berry, Cedar",Full-bodied,98,5,1
4,199.99,"Figgins Estate Red Walla Walla Valley, 2013",Figgins,Washington,Columbia Valley,Walla Walla,Cabernet Sauvignon,Elegant,,"Cassis, Blueberry, Raspberry",Full-bodied,94,4.9,8
0,229.97,"Frank Family Cabernet Reserve Rutherford, 2016",Frank Family,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Black Cherry, Blueberry, Spice",Full-bodied,93,4.8,8
1,599.99,"Futo Cabernet Oakville, 2013",Futo,California,Napa Valley,,Cabernet Sauvignon,Elegant,,"Blueberry, Blackberry, Floral",Full-bodied,98,,0
2,289.97,"Gaja Cabernet Darmagi, 2016",Gaja,Italy,Piedmont,Langhe,Cabernet Sauvignon,Concentrated,,"Cassis, Spice, Cedar",Full-bodied,95,,0
3,169.99,"Gallica Oakville Cabernet Sauvignon, 2014",Gallica,California,Napa Valley,Oakville,Cabernet Sauvignon,,,,,94,,0
4,149.99,"Gemstone Cabernet Estate, 2008",Gemstone,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Blackberry, Licorice",Medium-bodied,94,,0
0,39.99,"Gordon Estate Reserve Cabernet Sauvignon, 2014",Gordon Estate,Washington,Columbia Valley,,Cabernet Sauvignon,Elegant,13.8,"Cherry, Spice",Medium-bodied,91,3.7,6
1,174.99,"Hedges Red Mountain Blend, 2013",Hedges,Washington,Columbia Valley,Red Mountain,Cabernet Sauvignon,,,,,90,4.4,7
2,219.99,"Honig Cabernet Sauvignon Napa, 2017",Honig,California,,,Cabernet Sauvignon,Intense,,"Black Currant, Mocha, Oak",Full-bodied,92,4.8,56
3,619.99,"Hourglass Blueline Cabernet, 2013",Hourglass,California,Napa Valley,,Cabernet Sauvignon,,,,,94,1,1
4,55.99,"K Vintners Cabernet Roma, 2014",K Vintners,Washington,Columbia Valley,Walla Walla,Cabernet Sauvignon,,14.5,,,93,,0
0,549.97,"Kapcsandy Cabernet Sauvignon Grand Vin Napa, 2009",Kapcsandy,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Cassis, Clove",Full-bodied,98,,0
1,899.97,"Kathryn Hall Cabernet Napa, 2017",Hall,California,Napa Valley,Rutherford,Cabernet Sauvignon,Concentrated,,"Cassis, Cherry, Cedar",Full-bodied,96,4.5,17
2,179.99,"Klipsun Vineyard Cabernet, 2017",Klipsun,Washington,Columbia Valley,Red Mountain,Cabernet Sauvignon,,,,,94,,0
3,93.99,"Kobalt Cabernet Napa, 2011",Kobalt,California,Napa Valley,,Cabernet Sauvignon,,,,,92,,0
4,199.99,"Krupp Brothers Cabernet Stagecoach, 2016",Krupp Bros,California,Napa Valley,,Cabernet Sauvignon,,,,,98,,0
0,449.97,"Lokoya Cabernet Diamond Mountain, 2008",Lokoya,California,Napa Valley,Diamond Mountain,Cabernet Sauvignon,Concentrated,,"Black Cherry, Mocha",Full-bodied,92,,0
1,199.99,"M By Michael Mondavi, 2015",M By Michael Mondavi,California,,,Cabernet Sauvignon,,,,,95,,0
2,169.99,"Merus Cabernet, 2013",Merus,California,Napa Valley,,Cabernet Sauvignon,Concentrated,,"Cassis, Floral, Smoke",Full-bodied,93,5,1
3,499.99,"Nickel & Nickel Cabernet Sauvignon C.C. Ranch, 2015",Nickel & Nickel,California,Napa Valley,,Cabernet Sauvignon,Intense,,Cherry,Full-bodied,95,4.5,13
4,169.97,"Odette Estate Cabernet Sauvignon, 2016",Odette,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,,,,,95,,0
0,229.99,"Pahlmeyer Proprietary Red 30th Anniversary, 2016",Pahlmeyer,California,Napa Valley,,Cabernet Sauvignon,Elegant,15.1,"Blackberry, Black Currant, Lavender",Full-bodied,96,5,1
1,399.99,"Roy Estate Cabernet Sauvignon Napa, 2012",Roy Estate,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Blackberry, Dark Chocolate",Full-bodied,95,,0
2,589.99,"Roy Estate Cabernet Sauvignon Napa, 2014",Roy Estate,California,Napa Valley,,Cabernet Sauvignon,Concentrated,14.5,"Black Cherry, Black Raspberry, Black Plum",Full-bodied,95,4.5,2
3,"1,149.99","Screaming Eagle Second Flight Red Napa, 2011",Screaming Eagle,California,Napa Valley,,Cabernet Sauvignon,Intense,,"Black Currant, Blackberry, Boysenberry",,94,,0
4,73.99,"Seavey Caravina Cabernet Sauvignon Napa Valley, 2015",Seavey,California,Napa Valley,,Cabernet Sauvignon,,,,,91,,0
0,799.97,"Shafer Cabernet Hillside Select, 2016",Shafer,California,Napa Valley,Stags Leap District,Cabernet Sauvignon,Concentrated,,"Cassis, Mocha, Cedar",Full-bodied,100,5,1
1,129.99,"Sheridan L'Orage Yakima, 2016",Sheridan Vineyard,Washington,Yakima Valley,,Cabernet Sauvignon,Intense,14.1,"Fig, Vanilla",Full-bodied,92,4.4,21
2,189.99,"Signorello Padrone Proprietary Red, 2016",Signorello,California,Napa Valley,,Cabernet Sauvignon,,,,,95,5,1
3,189.99,"Skipstone Cabernet Sauvignon Oliver's Blend, 2016",Skipstone,California,,,Cabernet Sauvignon,,,,,96,,0
4,169.99,"Vineyard 29 Ceanda Cabernet Sauvignon, 2018",Vineyard 29,California,Napa Valley,St. Helena,Cabernet Sauvignon,Intense,,"Plum, Cassis, Herb",Medium-bodied,93,,0
0,679.99,"Dal Forno Romano Amarone della Valpolicella DOCG, 2009",Dal Forno,Italy,Veneto,Valpolicella,Corvina,Intense,,"Pepper, Black Fruit",Full-bodied,99,,0
1,54.99,"Andre Brunel Les Cailloux Chateauneuf-du-Pape Rouge, 2016",Andre Brunel,France,Rhone,Chateauneuf-du-Pape,Grenache,Elegant,,"Berry, Black Currant",Full-bodied,97,,0
2,119.99,"Achaval Ferrer Malbec Bella Vista, 2013",Achaval Ferrer,Argentina,Mendoza,Lujan de Cuyo,Malbec,Elegant,13.5,"Blackberry, Spice",Full-bodied,95,,0
3,139.99,"Bodega Colome Altura Maxima Malbec, 2015",Bodega Colome,Argentina,,,Malbec,Concentrated,14.9,"Blackberry, Cherry",Full-bodied,95,5,1
4,249.99,"Blankiet Rive Droite Napa, 2015",Blankiet Estate,California,Napa Valley,Yountville,Merlot,Intense,14.9,"Chocolate, Plum",Full-bodied,98,3,1
0,194.99,"Aldo Conterno Barolo Colonello, 2009",Aldo Conterno,Italy,Piedmont,Barolo,Nebbiolo,Elegant,,"Berry, Mineral, Rose",Full-bodied,95,,0
1,229.99,"Marchesi di Barolo Barolo Cannubi, 2013",Marchesi di Barolo,Italy,Piedmont,Barolo,Nebbiolo,,,,,93,,0
2,99.99,"Massolino Barolo Parussi, 2011",Massolino,Italy,Piedmont,Barolo,Nebbiolo,,,,,93,,0
3,189.99,"Pio Cesare Barolo Ornato, 2012",Pio Cesare,Italy,Piedmont,Barolo,Nebbiolo,Concentrated,,"Rose, Berry, Oak",Full-bodied,92,,0
4,99.99,"Prunotto Barolo Bussia, 2009",Prunotto,Italy,Piedmont,Barolo,Nebbiolo,Concentrated,,"Berry, Floral",Full-bodied,96,,0
0,59.99,"Sandrone Nebbiolo d'Alba Valmaggiore, 2018",Sandrone,Italy,Piedmont,,Nebbiolo,,,,,94,5,1
1,94.99,"Escarpment Kupe Martinborough Pinot Noir Single Vineyard, 2018",Kupe,New Zealand,Martinborough,,Pinot Noir,,,,,94,3,2
2,469.99,"Jadot Bonnes-Mares Grand Cru, 2018",Louis Jadot,France,Burgundy,,Pinot Noir,Elegant,,"Dark Berry, Dark Chocolate, Rose",Full-bodied,95,,0
3,144.99,"Jadot Chambolle Musigny Fuees, 2018",Louis Jadot,France,Burgundy,Gevrey-Chambertin,Pinot Noir,Elegant,,"Raspberry, Asian Spice, Cherry",Medium-bodied,94,,0
4,144.99,"Louis Jadot Corton-Pougets Grand Cru, 2018",Louis Jadot,France,Burgundy,Aloxe-Corton,Pinot Noir,Elegant,,"Berry, Plum, Licorice",Full-bodied,95,,0
0,69.99,"Migration Pinot Noir Dutton Ranch Russian River Valley, 2015",Duckhorn,California,Sonoma County,Russian River Valley,Pinot Noir,Concentrated,,"Red Fruit, Cinnamon, Earth",Medium-bodied,92,5,1
1,69.99,"Resonance Pinot Noir Yamhill Carlton, 2017",Resonance,Oregon,Willamette Valley,Yamhill-Carlton,Pinot Noir,,,,,92,,0
2,63.99,"Siduri Pinot Noir Santa Lucia Highlands Pisoni, 2014",Siduri,California,Monterey,Santa Lucia Highlands,Pinot Noir,,,,,90,,0
3,64.99,"The Hilt Pinot Noir The Vanguard Santa Rita Hills, 2013",Jonata,California,Santa Barbara,Santa Rita Hills,Pinot Noir,,,,,91,,0
4,65.99,"Winderlea Pinot Noir Winderlea Vineyard Dundee Hills, 2008",Winderlea,Oregon,Willamette Valley,,Pinot Noir,Concentrated,13,"Cherry, Spice",Medium-bodied,91,3,2
0,29.99,"Baronia del Montsant Clos d'Englora AV14, 2005",Cellers Baronia del Montsant,Spain,Montsant,,Red Blend,Intense,14,"Blueberry, Black Raspberry",Full-bodied,91,4.3,10
1,119.99,"Ferrer Bobet Priorat Seleccio Especial, 2012",Ferrer Bobet,Spain,Priorat,,Red Blend,Intense,15,"Black Fruit, Oak",Full-bodied,95,3.5,2
