,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
3,60.99,"Cakebread Merlot, 2016",Cakebread,California,Napa Valley,,Merlot,Elegant,,"Blackberry, Mocha, Oak",Full-bodied,92,4.5,13
4,37.99,"Sheridan Mystique Yakima, 2014",Sheridan Vineyard,Washington,Yakima Valley,,Merlot,Elegant,14.1,"Cherry, Spice",Medium-bodied,92,4.6,40
0,28.99,"Mauro Veglio Langhe Nebbiolo DOC Angelo, 2019",Mauro Veglio,Italy,Piedmont,Langhe,Nebbiolo,Fresh,14,"Rose, Raspberry, Cherry",Light-bodied,91,4.2,6
1,67.99,"Amici Pinot Noir Reserve Russian River Valley, 2018",Amici,California,Sonoma County,Russian River Valley,Pinot Noir,Elegant,14.2,"Raspberry, Strawberry, Cinnamon",Medium-bodied,94,4,6
2,69.99,"Domaine Chevillon Chezeaux Vielles Vignes Nuits St. Georges, 2015",Domaine Chevillon Chezeaux,France,Burgundy,Nuits-Saint-Georges,Pinot Noir,Elegant,13,"Dark Fruit, Black Cherry",Medium-bodied,90,4.8,10
3,71.99,"Domaine Drouhin Pinot Noir Laurene, 2015",Domaine Drouhin,Oregon,Willamette Valley,Dundee Hills,Pinot Noir,Elegant,,"Cherry, Spice, Vanilla",Medium-bodied,93,4.3,8
4,46.99,"Domaine Drouhin Pinot Noir, 2018",Domaine Drouhin,Oregon,Willamette Valley,,Pinot Noir,Intense,,"Cherry, Smoke",Medium-bodied,94,4.6,46
0,20.99,"Tesoro de Bullas Monastrell Seleccion, 2008",Tesoro de Bullas,Spain,,,Mourvedre/Monastrell,Concentrated,14,"Blueberry, Lavender",Full-bodied,91,4.3,6
1,49.99,"Alessandria Barolo, 2015",Alessandria,Italy,Piedmont,Barolo,Nebbiolo,Elegant,14,"Red Berry, Vanilla",Full-bodied,93,4.1,14
2,209.99,"Bruno Giacosa Barolo Falletto, 2012",Bruno Giacosa,Italy,Piedmont,Barolo,Nebbiolo,Concentrated,,"Berry, Anise, Rose",Full-bodied,94,5,1
3,34.99,"Giribaldi Barbaresco, 2018",Giribaldi,Italy,Piedmont,,Nebbiolo,Elegant,14,"Plum, Berry, Spice",,91,4.8,6
4,39.99,"Giribaldi Barolo, 2017",Giribaldi,Italy,Piedmont,Barolo,Nebbiolo,Elegant,14,"Dried Fruit, Red Fruit, Chocolate",,90,4.3,12
0,54.99,"Domaine Serene Pinot Noir Yamhill Cuvee, 2017",Domaine Serene,Oregon,Willamette Valley,,Pinot Noir,Intense,,"Raspberry, Plum, Smoke",Medium-bodied,92,4.1,7
1,55.99,"Domaine Tupinier Bautista Mercurey En Sazenay Premier Cru Rouge, 2019",Domaine Tupinier-Bautista,France,Burgundy,Mercurey,Pinot Noir,Elegant,13,"Raspberry, Black Cherry",Medium-bodied,92,4.4,7
2,49.99,"Domaine Tupinier-Bautista Mercurey Vieilles Vignes, 2019",Domaine Tupinier-Bautista,France,Burgundy,Mercurey,Pinot Noir,Elegant,13,"Black Cherry, Raspberry",Medium-bodied,91,3.3,3
3,50.99,"Edict Pinot Noir Anderson Valley, 2018",Edict,California,Mendocino,Anderson Valley,Pinot Noir,Concentrated,14.6,"Cherry, Raspberry, Spice",Medium-bodied,93,4,27
4,119.97,"Kosta Browne Pinot Noir Sonoma Cst, 2018",Kosta Browne,California,Sonoma County,,Pinot Noir,Intense,,"Raspberry, Wild Berry, Vanilla",Medium-bodied,93,4.4,7
0,54.99,"The Hilt Pinot Noir Santa Rita Hills , 2016",Jonata,California,Santa Barbara,Santa Rita Hills,Pinot Noir,,,,,93,4,4
1,44.99,"Vincent Lumpp Givry Clos du Cras Long Premier Cru, 2017",Domaine Vincent Lumpp,France,Burgundy,Givry,Pinot Noir,Elegant,13,"Red Berry, Cherry",Medium-bodied,92,3.7,12
2,39.99,"WALT Pinot Noir Blue Jay Anderson Valley, 2016",Walt,California,Mendocino,Anderson Valley,Pinot Noir,,,,,90,4.5,10
3,79.99,"Arcanum Toscana IGT, 2015",Arcanum,Italy,Tuscany,,Red Blend,,,,,97,5,1
